(rel_name-default_prep  k2p	to)
(rel_name-default_prep  k7p	in	)
(rel_name-default_prep  k3	with)
(rel_name-default_prep  k5	from)
(rel_name-default_prep  r6	of)
(rel_name-default_prep  k7t	at)
(rel_name-default_prep  k4	to)
(rel_name-default_prep  sk1	with)
(rel_name-default_prep  sImA	upto)
(rel_name-default_prep  ras-k1	with)
(rel_name-default_prep  k7te	before)
(rel_name-default_prep  k7ts	after)
(rel_name-default_prep  uwwarakAlika_kriyA	before)
(rel_name-default_prep  k7	on)
(rel_name-default_prep  rt	for)
