#kOna_2,which_2
AKirI_1,last_1
APataranUna_1,afternoon_1
ASA+raKa_1,expect_1
ASaMkA_1,fear_1
ATavIM_1,eighth_1
A_1,come_1
A_2,go_2
A_3,know_3
AisakrIma_1,ice-cream_1
Aja_1,today_1
AjamA_1,test_1
AlasI_1,lazy_1
ArAma_1,break_1
AramBa+ho_1,begin_1
AvaSyakawA+ho_1,need_1
Avexana+kara_1,apply_1
AxamI_1,man_1
Axawa_1,habit_1
AyA_1,maid_1
Ayu_1,age_1
Ayu_2,old_2
BAI_1,brother_1
BAga_1,run-away_1
BArI-Barakama_1,heavy_1
BI_1,also_1
BIdZa_1,crowd_1
BUKA_1,hungry_1
BUKa_1,hunger_1
BalAI_1,welfare_1
Bara_1,fill_1
BaviRya_1,future_1
Beja_1,send_1
BiKArI_1,beggar_1
Bojana_1,food_1
Bramana+kara_1,travel_1
CAwra_1,student_1
CAwravqwwi_1,scholarship_1
CUta_1,miss_1
CUta_2,discount_2
CaH_1,six_1
Caha_1,six_2
CodZa_1,leave_1
CodZa_2,drop_2
CotA_1,small_1
CotA_2,young_2
CuttI_1,holiday_1
DUMDZa_1,look_1
DUMDZa_2,seek_2
DUMDZa_3,find_1
DUMDa_1,seek_1
Daka_1,cover_1
EsA_1,such_1
GAsa_1,grass_1
GUma_1,visit_1
GUmanA_1,visiting_1
GadZI_3,watch_3
GanA_1,thickly_1
GaniRTa_1,close_1
GantA_1,hour_1
Gara_1,house_1
Gara_2,home_2
GqNA+kara_1,hate_1
ImAnaxAra_1,honest_1
JUTa_1,lie_1
JagadZA+kara_1,quarrel_1
KA_1,eat_1
KAnA_1,meal_1
KAnA_2,food_2
KAsa_1,original_1
KAwA_1,account_1
Kabara_1,news_1
KabaraxArI+kara_1,take care_1
KadZA+ho_1,stand_1
KajAnA_1,treasure_1
KarIxa_1,buy_1
KarIxa_2,purchase_2
KaragoSa_1,rabbit_1
KayAla_1,thought_1
KayAla_2,opinion_2
Kela_1,play_1
Kela_2,play_2
Kela_3,game_3
KilAdZI_1,player_1
Ko_1,loose_1
Kola_1,open_1
Kuxa_1,you_1
Kuxa_2,him_2
Ora_1,and_1
Ora_2,other_2
Orawa_1,lady_1
PAila_1,file_1
PEla_1,spread_1
PEla_2,prevail_2
PIlda_1,field_1
POrana_1,immediately_1
PUla_1,flower_1
PZArma_1,form_1
PZEksa_1,fax_1
PZEmilI_1,family_1
PZilma_1,movie_1
PZlEta_1,flat_1
PZona_1,phone_1
Pala_1,fruit_1
Pala_2,result_2
ParavarI_1,Feb_1
Pira_1,then_1
Pira_2,again_2
PutabAla_1,football_1
PutaboYla+mEtca_1,football-match_1
SAma_1,evening_1
SAmila+ho_1,join_1
SAxISuxA_1,married_1
SAxI_1,marriage_1
SAyaxa_1,probable_1
SOkIna_1,fond_1
SOka_1,hobby_1
SanivAra_1,Sat_1
SarArawI_1,naughty_1
Sabda_1,word_1
Sera_1,tiger_1
SikArI_1,hunter_1
SikAra+kara_1,hunt_1
SikAra_1,hunt_2
SikRaNa_1,teaching_1
SukravAra_1,Fri_1
TIka+kara_1,correct_1
TIka_1,right_1
TIka_2,allright_2
TaMdA_1,cool_1
TaMdA_2,cold_2
TaNdA_1,cold_1
Tahara_1,stay_1
WA_1,be_1
WodZA_1,some_1
XArApravAha_1,fluently_1
XErya_1,patience_1
XIre_1,slow_1
XanI_1,rich_1
aBI_1,just_1
aByAsa+kara_1,study_1
aKabAra_1,newspaper_1
aMSaxAna_1,contribution_1
aMXA_1,blind_1
aMgrejI_1,english_1
aMgreja_1,british_1
aMxAjana_1,approximate_1
aXyApaka_1,teacher_1
aXyApana_1,teaching_2
aba_1,now_1
aba_2,now_2
acCA+laga_1,like_1
acCA_1,good_1
acCA_2,nice_2
agalA_1,next_1
agalI_1,next_2
agaswa_1,Aug_1
akelApana_1,lonely_1
akele_1,alone_1
aktUbara_1,Oct_1
amIra_1,rich_2
amUlya_1,invaluable_1
anAWAlaya_1,orphanage_1
anuBava_1,experience_1
anupasWiwa_1,absent_1
anxara_1,in_1
apAiMtameMta_1,appointment_1
apaharaNa+kara_1,kidnap_1
apaharaNa_1,kidnap_2
aprEla_1,Apr_1
asahanIys_1,unbearable_1
asara_1,effect_1
asisteMta+mEnejara_1,Assistant-manager_1
aspatAla_1,hospital_1
avaSya_1,must_1
axBuwa_1,strange_1
bAjAra_1,market_1
bAjZAra_1,market_2
bAla+gIwa_1,nursery-rhyme_1
bAla+saBA_1,child-assembly_1
bAlaka_1,boy_1
bAra-bAra_1,again-and-again_1
bAwa+kara_1,talk_1
bAwa+karanA_1,talking_1
bAwa_1,matter_1
bAwa+mAna_1,obey_1
bAwacIwa+kara_1,communicate_1
bAwacIwa+kara_2,talk_2
bAwacIwa_1,talking_2
bAyeM_1,left_1
bAzsurI_1,flute_1
bETa_1,sit_1
bETa_2,join_2
bIja_1,seed_1
bImAra_1,ill_1
bUDZA_1,old_1
bUDZI_1,old_3
baDZaI_1,carpenter_1
baMxa+kara_1,close_2
baMxa_1,close_3
baMxara_1,monkey_1
baWA_1,tell_1
bacapana_1,childhood_1
bacawa+KAwA_1,saving-account_1
baccA_1,baby_1
baccA_2,child_2
badA_1,elder_1
badA_2,huge_2
badA_3,big_3
badA_4,very_4
badZA+kara_1,grant_1
badZA_1,great_1
bahana_1,sister_1
bahasa+kara_1,argue_1
bahumUlya_1,valuable_1
bahuwa_1,many_1
bahuwa_2,very_2
bahuwa_3,too-much_3
bajA_1,play_3
bajAnA_1,playing_1
baja_1,play_4
bajata_1,budget_1
baksA_1,box_1
banA_1,make_1
banA_2,cook_2
bana_1,be_2
bana_2,become_2
banxa_1,close_4
barPa_1,snow_1
barabAxa+kara_1,waste_1
barabAxa_1,waste_2
barasAwa_1,rain_1
basa+addA_1,bus-stop_1
basa_1,bus_1
batana_1,switch_1
bawA_1,suggest_1
bawA_2,tell_2
baxalAva_1,change_1
baxala_1,change_2
betA_1,son_1
bijZanesa_1,business_1
bijalI+kI+katOwI_1,power-cut_1
bijalI_1,light_1
bilkula_1,perfect_1
billI_1,cat_1
biswara_1,bed_1
blada+preSara_1,blood-pressure_1
bo_1,sow_1
bola_1,spoke_1
bola_2,tell_3
bqhaspawivAra_1,Thu_1
brekaPAsta+sIriyala_1,breakfast-cereal_1
brokara_1,broker_1
